# Filename: ILATM2_20171125_202918_smooth_nadir3seg_50pt.csv
# Input filename: ILATMW1B_20171125_202918.atm6AT6.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 171125_aa_l12_cfm_itrf14_08jan18_sawh_roth_amu2
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
73700.00, -72.917710, 268.993286, 599.0449, 0.0085394, 0.0205722, 13.27, 1318, 10, 357, 1
73700.00, -72.915842, 268.985890, 594.4701, 0.0108303, 0.0321058, 7.93, 486, 3, 39, 2
73700.00, -72.913975, 268.978495, 588.5794, 0.0159335, 0.0388314, 12.82, 1199, 0, -280, 3
73700.00, -72.915615, 268.984991, 593.8468, 0.0112420, 0.0331925, 4.12, 130, 0, 0, 0
73700.25, -72.917492, 268.993907, 599.7292, 0.0093940, 0.0204651, 14.95, 1418, 0, 357, 1
73700.25, -72.915623, 268.986509, 595.4082, 0.0130378, 0.0330665, 8.93, 470, 2, 38, 2
73700.25, -72.913753, 268.979111, 589.7433, 0.0179050, 0.0397871, 13.62, 1234, 1, -281, 3
73700.25, -72.915399, 268.985624, 594.8254, 0.0130681, 0.0340267, 4.98, 121, 1, 0, 0
73700.50, -72.917273, 268.994534, 600.4544, 0.0104628, 0.0203458, 16.27, 1466, 2, 357, 1
73700.50, -72.915403, 268.987130, 596.3890, 0.0134810, 0.0321749, 9.08, 452, 2, 38, 2
73700.50, -72.913534, 268.979726, 590.9713, 0.0197458, 0.0407051, 14.40, 1280, 1, -281, 3
73700.50, -72.915183, 268.986257, 595.8417, 0.0137577, 0.0329481, 5.68, 98, 0, 0, 0
73700.75, -72.917055, 268.995155, 601.2040, 0.0109593, 0.0195266, 16.31, 1470, 6, 356, 1
